model_name,expected_mean,used_mean,expected_std,used_std,expected_interpolation,used_interpolation,expected_crop_pct,used_crop_pct,native_input_size,used_input_size,n_mismatches,mismatches,status
resnet50,"(0.485, 0.456, 0.406)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","(0.229, 0.224, 0.225)",bicubic,area,0.95,none,"(3, 224, 224)",224,2,interpolation bicubic != area; crop_pct 0.95 but no centre crop applied,FAIL
tf_efficientnet_b0,"(0.485, 0.456, 0.406)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","(0.229, 0.224, 0.225)",bicubic,area,0.875,none,"(3, 224, 224)",224,2,interpolation bicubic != area; crop_pct 0.875 but no centre crop applied,FAIL
convnext_tiny,"(0.485, 0.456, 0.406)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","(0.229, 0.224, 0.225)",bicubic,area,0.875,none,"(3, 224, 224)",224,2,interpolation bicubic != area; crop_pct 0.875 but no centre crop applied,FAIL
vit_base_patch16_224,"(0.5, 0.5, 0.5)","(0.485, 0.456, 0.406)","(0.5, 0.5, 0.5)","(0.229, 0.224, 0.225)",bicubic,area,0.9,none,"(3, 224, 224)",224,4,"mean (0.5, 0.5, 0.5) != (0.485, 0.456, 0.406); std (0.5, 0.5, 0.5) != (0.229, 0.224, 0.225); interpolation bicubic != area; crop_pct 0.9 but no centre crop applied",FAIL
vit_small_patch14_reg4_dinov2,"(0.485, 0.456, 0.406)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","(0.229, 0.224, 0.225)",bicubic,area,1.0,none,"(3, 518, 518)",224,2,interpolation bicubic != area; native input 518 != 224 (pos-embed interpolation),FAIL
