model_name,architecture_identifier,library,library_version,pretrained_checkpoint,pretraining_dataset,pretraining_supervision,parameter_count,feature_dimension,native_input_size,expected_mean,expected_std,interpolation,crop_pct,crop_mode
resnet50,resnet50.a1_in1k,timm,1.0.11,resnet50.a1_in1k,ImageNet-1k,supervised,23508032,2048,"(3, 224, 224)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",bicubic,0.95,center
tf_efficientnet_b0,tf_efficientnet_b0.ns_jft_in1k,timm,1.0.11,tf_efficientnet_b0.ns_jft_in1k,JFT-300M pseudo-labels + ImageNet-1k,semi-supervised (NoisyStudent),4007548,1280,"(3, 224, 224)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",bicubic,0.875,center
convnext_tiny,convnext_tiny.fb_in22k_ft_in1k,timm,1.0.11,convnext_tiny.fb_in22k_ft_in1k,ImageNet-22k -> ImageNet-1k,supervised,27820128,768,"(3, 224, 224)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",bicubic,0.875,center
vit_base_patch16_224,vit_base_patch16_224.augreg2_in21k_ft_in1k,timm,1.0.11,vit_base_patch16_224.augreg2_in21k_ft_in1k,ImageNet-21k -> ImageNet-1k,supervised (AugReg),85798656,768,"(3, 224, 224)","(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",bicubic,0.9,center
vit_small_patch14_reg4_dinov2,vit_small_patch14_reg4_dinov2.lvd142m,timm,1.0.11,vit_small_patch14_reg4_dinov2.lvd142m,LVD-142M,self-supervised (DINOv2),22057344,384,"(3, 518, 518)","(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",bicubic,1.0,center
